decimalLatitude decimalLongitude scientificName
11.049794 -72.669859 "Ictinia mississippiensis"
7.0419 -75.9558 "Harpagus bidentatus"
11.311238 -73.943964 "Harpagus bidentatus"
3.8927 -76.4975 "Harpagus bidentatus"
6.48886 -74.4739 "Helicolestes hamatus"
4.966667 -74.433333 "Buteo platypterus"
6.3333 -72.7 "Buteo platypterus"
4.65 -74.4 "Buteo platypterus"
4.9166 -74.1 "Buteo platypterus"
4.15 -74.4 "Buteo platypterus"
6.283 -75.56733 "Buteo platypterus"
6.25 -76.3333 "Buteo platypterus"
7.05 -75.8666 "Buteo platypterus"
6.083 -75.633003 "Buteo platypterus"
7.0419 -75.9558 "Buteo platypterus"
5.094503 -75.533589 "Buteo platypterus"
6.3 -75.0666 "Buteo platypterus"
10.326877 -75.403892 "Buteo platypterus"
10.795717 -73.634649 "Buteo platypterus"
5.926454 -75.676213 "Buteo platypterus"
6.05 -74.8 "Buteo platypterus"
7.4666 -74.9 "Buteo platypterus"
6.4333 -75.3333 "Buteo platypterus"
6.0256 -75.3931 "Buteo platypterus"
5.926454 -75.676213 "Buteo platypterus"
6.049059 -75.689681 "Buteo platypterus"
7.05 -75.8666 "Buteo platypterus"
6.68 -75.1833 "Buteo platypterus"
8.35 -75.1 "Elanus leucurus"
4.770775 -74.068955 "Elanus leucurus"
1.1333 -76.2667 "Elanus leucurus"
4.8666 -73.8666 "Elanus leucurus"
9.2333 -75.8167 "Elanus leucurus"
6.9166 -75.8333 "Elanus leucurus"
6.25 -76.3333 "Elanus leucurus"
4.7 -74.1166 "Elanus leucurus"
5.2525 -67.8661 "Elanus leucurus"
3.521227 -76.585798 "Elanus leucurus"
6.5 -75.5667 "Elanus leucurus"
9.5833 -75.6667 "Elanus leucurus"
6.1672 -75.58325 "Elanus leucurus"
6.267 -74.533 "Elanus leucurus"
6.0167 -75.45 "Buteo magnirostris"
6.283 -75.56733 "Buteo magnirostris"
7.0419 -75.9558 "Buteo magnirostris"
6.3 -75.0666 "Buteo magnirostris"
4.81635 -73.270583 "Buteo magnirostris"
10.25 -75.35 "Buteo magnirostris"
4.6333 -74.4666 "Buteo magnirostris"
6.1705 -75.5844 "Buteo magnirostris"
4.2833 -73.6 "Buteo magnirostris"
6.4706 -75.7331 "Buteo magnirostris"
5.04 -76.0833 "Buteo magnirostris"
6.966806 -75.429117 "Buteo magnirostris"
6.55081 -75.21748 "Buteo magnirostris"
6.8564 -75.8689 "Buteo magnirostris"
